importance,feature
0.00215,std:acc_x__dom_power
0.00214,mean:gyro_mag__band_1.5_3.0
0.00214,std:gyro_z__range
0.00214,std:gyro_y__band_0.0_0.5
0.00213,std:acc_y__spec_entropy
0.00213,std:acc_mag__skew
0.00212,mean:gyro_z__band_0.0_0.5
0.00212,mean:gyro_x__dom_freq
0.00211,mean:acc_y__skew
0.00210,std:gyro_y__dom_freq
0.00210,std:acc_mag__zcr
0.00210,mean:acc_mag__band_0.0_0.5
0.00209,mean:gyro_z__band_1.5_3.0
0.00209,mean:gyro_x__skew
0.00209,std:acc_y__rms
0.00207,std:acc_z__rms
0.00207,mean:gyro_y__band_1.5_3.0
0.00207,std:gyro_x__range
0.00205,std:acc_y__dom_power
0.00205,mean:gyro_mag__kurt
0.00205,std:gyro_mag__min
0.00204,std:gyro_y__std
0.00203,std:acc_mag__band_0.5_1.5
0.00202,std:gyro_x__rms
0.00201,mean:gyro_mag__dom_freq
0.00200,std:acc_z__band_0.0_0.5
0.00200,mean:acc_z__dom_power
0.00199,std:acc_y__band_6.0_12.5
0.00199,std:acc_mag__band_3.0_6.0
0.00199,std:acc_x__rms
0.00198,std:acc_mag__spec_centroid
0.00197,std:acc_y__band_0.5_1.5
0.00197,mean:gyro_y__skew
0.00197,std:gyro_x__kurt
0.00196,std:acc_corr_xy
0.00195,std:acc_z__band_6.0_12.5
0.00195,std:gyro_x__std
0.00195,mean:acc_x__kurt
0.00194,std:acc_x__zcr
0.00194,std:gyro_y__rms
0.00194,mean:gyro_mag__band_0.5_1.5
0.00193,mean:gyro_z__skew
0.00193,std:gyro_y__skew
0.00193,std:acc_mag__band_6.0_12.5
0.00192,std:acc_y__skew
0.00192,std:gyro_x__dom_power
0.00192,std:acc_x__spec_centroid
0.00191,std:gyro_mag__max
0.00191,std:acc_x__kurt
0.00191,std:gyro_y__range
0.00191,std:gyro_y__kurt
0.00190,std:acc_z__dom_freq
0.00190,std:acc_x__dom_freq
0.00190,std:gyro_x__skew
0.00190,std:gyro_z__zcr
0.00189,std:gyro_y__iqr
0.00189,std:acc_z__dom_power
0.00188,std:gyro_mag__std
0.00188,std:acc_z__spec_centroid
0.00187,std:gyro_mag__rms
0.00187,std:gyro_x__band_0.5_1.5
0.00187,std:acc_mag__spec_entropy
0.00186,mean:acc_x__skew
0.00185,std:gyro_y__band_3.0_6.0
0.00185,std:gyro_z__band_3.0_6.0
0.00185,std:gyro_mag__range
0.00185,std:acc_x__iqr
0.00185,std:gyro_x__band_6.0_12.5
0.00185,std:gyro_z__band_0.0_0.5
0.00184,std:gyro_mag__median
0.00183,std:gyro_mag__mad
0.00183,std:gyro_y__band_6.0_12.5
0.00182,std:gyro_z__skew
0.00182,std:gyro_y__mad
0.00182,std:gyro_corr_xy
0.00181,std:acc_y__band_1.5_3.0
0.00181,std:acc_y__spec_centroid
0.00181,std:acc_mag__band_0.0_0.5
0.00180,std:gyro_x__band_0.0_0.5
0.00180,std:acc_mag__dom_power
0.00180,std:gyro_y__band_1.5_3.0
0.00179,std:gyro_z__kurt
0.00178,std:gyro_y__band_0.5_1.5
0.00178,mean:gyro_mag__band_3.0_6.0
0.00178,std:gyro_mag__band_0.0_0.5
0.00178,std:acc_z__band_0.5_1.5
0.00177,std:acc_y__zcr
0.00177,std:gyro_mag__band_1.5_3.0
0.00177,std:gyro_mag__mean
0.00177,std:gyro_y__dom_power
0.00177,std:acc_mag__band_1.5_3.0
0.00176,std:gyro_y__spec_entropy
0.00176,std:gyro_z__band_6.0_12.5
0.00175,std:gyro_x__spec_entropy
0.00175,std:gyro_z__band_0.5_1.5
0.00175,std:acc_z__band_3.0_6.0
0.00175,std:acc_z__spec_entropy
0.00174,std:acc_z__zcr
0.00174,std:acc_z__band_1.5_3.0
0.00173,std:gyro_corr_xz
0.00173,std:acc_y__band_3.0_6.0
0.00172,std:acc_x__skew
0.00171,std:gyro_x__band_3.0_6.0
0.00170,std:gyro_mag__dom_freq
0.00170,std:gyro_corr_yz
0.00170,std:gyro_mag__kurt
0.00170,std:acc_y__dom_freq
