variant,n_feat,acc,macro_f1,bal_acc,walk_f1,run_f1,bike_f1,sec
all_window,175,0.43419569797638297,0.37775649356997093,0.3693564258878223,0.6136579798364086,0.30701754385964913,0.7060755336617406,158
inv_window,43,0.421603214268215,0.38464405572630206,0.37844972773965324,0.5946403385049366,0.38,0.6423529411764706,81
noori_window,151,0.4476211475329511,0.4037140271160103,0.38754567124327444,0.6125872769588828,0.38427947598253276,0.7163934426229508,150
all_minute,350,0.4724876280072517,0.42753261809769916,0.416026402711137,0.6079462898942832,0.4555984555984556,0.6460348162475822,30
noori_minute,302,0.47780391003968836,0.43238252921989756,0.4221198413938333,0.6003847322061354,0.48,0.6233283803863299,29
hgb_noori_minute,302,0.43833602822284284,0.41105000005369013,0.43793290548274333,0.5686329640668054,0.44502617801047123,0.5143638850889193,34
